CTYUA21CD,CTYUA21NM,HPT,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length,GlobalID
E09000011,Greenwich,South London,542507,175878,0.050093,51.4639,106,47365109.47,37969.72965,0a52c0d8-e1fd-46d9-a6cf-54f35c4b7a88
E09000012,Hackney,North East and North Central London,534560,185787,-0.06045,51.5549,107,19832965.07,21351.25235,a20fa567-b32f-4469-b096-e64c09be0dcc
E09000013,Hammersmith and Fulham,North West London,523867,177993,-0.21735,51.4873,108,17334834.72,20302.42851,0bf7b065-d91e-4d80-b1bc-241583ac1bb1
E09000014,Haringey,North East and North Central London,531260,189349,-0.1067,51.5877,109,28656867.05,25726.85732,a3646232-e7bf-4c77-a866-2ff48cb8078c
E09000015,Harrow,North West London,515359,189736,-0.33598,51.5947,110,51801479.59,31182.0556,81c9a337-8c06-4876-8527-4ff8eb2209e5
E09000016,Havering,North East and North Central London,555032,187514,0.235368,51.5652,111,113343593.6,58347.62684,5ca397de-9ea1-4c6a-965f-f066a28fddda
E09000017,Hillingdon,North West London,508166,183121,-0.44182,51.5366,112,115513311.4,55983.093,7eff8fde-2188-45f9-8905-5d1629efe51e
E09000018,Hounslow,North West London,512737,174959,-0.37855,51.4624,113,56820418.87,46714.57202,03d19c65-7e70-47ab-9451-577cdf11cdcc
E09000019,Islington,North East and North Central London,531160,184645,-0.10989,51.5455,114,15147055.24,17529.06885,e2eb595d-9a92-4c44-97d8-cce63c9bd007
E09000020,Kensington and Chelsea,North West London,525756,179058,-0.18977,51.4965,115,11387818.79,17844.76835,9144bdbe-f9c8-44a8-8def-edb0aa0e94cd
E09000021,Kingston upon Thames,South London,519508,167389,-0.28367,51.393,116,37995818.5,33046.98701,6273923b-a65b-4abd-91f4-2daf787b6f9c
E09000022,Lambeth,South London,531118,175629,-0.11385,51.4645,117,27177247.58,28899.88742,220e8d63-57c2-4403-a88b-6ce4efbeb611
E09000023,Lewisham,South London,537888,173343,-0.01734,51.4423,118,34349575.75,30899.76115,978822b1-f14f-4e3f-9f05-d69604b906c7
E09000024,Merton,South London,526068,169508,-0.18868,51.4106,119,37363852.64,27911.08565,23938586-ba8e-45ff-82dd-3d87b5e1ae02
E09000025,Newham,North East and North Central London,540713,183346,0.027261,51.5315,120,37051007.34,25735.89536,59effdee-ec65-4e53-8294-3bd26b391b49
E09000026,Redbridge,North East and North Central London,543512,189477,0.070085,51.5859,121,57732626.17,36057.14023,34d773bd-e2bd-45a9-bf95-1f77bb3dafce
E09000027,Richmond upon Thames,South London,519005,172650,-0.28914,51.4403,122,57385323.25,45187.66736,1aa4a940-e66f-4488-a377-bc0de7bb5e42
E09000028,Southwark,South London,533945,175869,-0.07308,51.4659,123,29841652.26,28202.755,5e7e03bc-418f-4d9a-bfbf-35c7ba650799
E09000029,Sutton,South London,527357,163639,-0.17226,51.3576,124,44490891.07,32955.85169,2298cf4d-112d-43a2-a2d0-c81d8f64096c
E09000030,Tower Hamlets,North East and North Central London,536340,181452,-0.03647,51.5155,125,19520427.95,25466.66424,e5b2bf78-6f01-44bb-b8e3-5c1033acca83
E09000031,Waltham Forest,North East and North Central London,537328,190278,-0.0188,51.5946,126,39280519.92,28358.26127,1b99fd8d-94c0-4cef-b4e9-a220ff42bc03
E09000032,Wandsworth,South London,525152,174138,-0.20021,51.4524,127,35067557.86,32987.6375,1779e61c-1fdb-43b0-bf7a-22e3ff6c781e
E09000033,Westminster,North West London,528268,180871,-0.15295,51.5122,128,22896812.79,22657.06083,ba3d6385-834a-407f-8022-75e1a9a0b497
E10000003,Cambridgeshire,East of England,520312,273864,-0.23506,52.3497,129,3056053133,366338.0511,3000e888-d7c2-4de9-a76a-7da51e236787
E10000006,Cumbria,Cumbria and Lancashire,341868,527180,-2.90213,54.6364,130,6832513383,542080.4955,683fe242-fb42-4748-bba7-66f89c13c58e
E10000007,Derbyshire,East Midlands,426752,353556,-1.6021,53.0786,131,2549660378,372264.8388,02df8979-c8cc-46e2-936a-f025c1a4a7d1
E10000008,Devon,South West,283143,93085,-3.65698,50.7256,132,6584991274,596829.0693,a1a939c8-2df8-4581-8567-38fa5f8ceda1
E10000011,East Sussex,Surrey and Sussex,564123,117996,0.334559,50.938,133,1721427362,220343.0728,93524f1c-fe47-4d85-b972-1cef9e381f57
E10000012,Essex,East of England,575270,215407,0.54106,51.8098,134,3469601038,555794.9306,e3f0a65f-effa-4a63-be56-c8bf66d4b1df
E10000013,Gloucestershire,South West,389595,213465,-2.15235,51.8197,135,2697361011,350832.8947,5d44ddd5-2711-4858-a052-7c8e0c759a10
E10000014,Hampshire,Hampshire and Isle of Wight,452859,127536,-1.24735,51.0447,136,3676624676,473806.6006,ae0954fd-0d19-476e-a970-0ac1893fb1b6
E10000015,Hertfordshire,East of England,518883,213642,-0.27699,51.8088,137,1642273719,260398.4181,e6b3f87a-162a-49ff-808e-253b95ada354
E10000016,Kent,Kent,590249,147268,0.72137,51.193,138,3543552716,422943.8781,0b41b95f-8c5f-4590-a33c-e41182afd5bf
E10000017,Lancashire,Cumbria and Lancashire,369784,440758,-2.46091,53.8622,139,2910097587,421672.5081,da0cdaa7-f239-459e-ab24-2c8a2c60e1d8
E10000018,Leicestershire,East Midlands,442147,310191,-1.3779,52.6878,140,2087260503,300917.1024,37a1d3be-d9b8-4602-9e93-58bd16bcff44
E10000019,Lincolnshire,East Midlands,517984,358539,-0.23884,53.111,141,5949379696,485590.8294,c94dba9a-5f65-4065-b84d-6f5b86872355
E10000020,Norfolk,East of England,600549,312292,0.964714,52.6712,142,5380657360,397564.2741,836ea784-df99-41c0-952e-2c1244931ff7
E10000023,North Yorkshire,Yorkshire and Humber,429509,466515,-1.55032,54.0937,143,8054149817,662878.7271,8319e175-2ad1-4d9b-8351-91ee44e2ced0
E10000024,Nottinghamshire,East Midlands,466570,359496,-1.00656,53.1285,144,2087469891,306556.5422,edc0a070-017b-4583-818a-da1a5f6e4178
E10000025,Oxfordshire,Thames Valley,448985,208334,-1.29146,51.7715,145,2608127868,342246.1766,37d6655a-4037-4f4c-8e55-6a80ea8cf2b2
E10000027,Somerset,South West,309300,131077,-3.29595,51.0718,146,3461188734,377233.5573,a0babd2f-de9f-49a0-94b2-e21dab5eae28
E10000028,Staffordshire,West Midlands,398243,334651,-2.02756,52.9093,147,2628222825,398317.246,94c77261-01e3-4245-89f6-321576c20e3d
E10000029,Suffolk,East of England,608219,266120,1.04919,52.2538,148,3825092960,423822.8351,d7c07649-4c62-459d-9fa5-4647c4a320b3
E10000030,Surrey,Surrey and Sussex,515966,153408,-0.33911,51.268,149,1667746520,229434.0909,cc16bc04-f583-4829-a02a-565cdaac4d77
E10000031,Warwickshire,West Midlands,429584,253588,-1.56874,52.1798,150,1973991936,332487.5782,80e6c673-2899-4215-81bf-39911cd44ee2
E10000032,West Sussex,Surrey and Sussex,508316,118010,-0.45933,50.9513,151,1995889431,268047.3522,d89e50cf-7879-4319-a4db-6e8c62ef3719
E10000034,Worcestershire,West Midlands,385792,257203,-2.20935,52.2129,152,1743379750,306514.8611,3fb70392-24e2-4c36-ae65-dfcfbc7c391b
